Book,Publisher,Category,Subcategory,State/Country,Date,Month,Year,Host,Meeting No.,Contributor,Composite,Aaron T.,Adam H.,Adam W.,Alex Ha.,Alex He.,Alex M.,Alex S.,Allen M.,Andrew F.,Andrew P.,Andrew S.,Anfernee A.,Annie H.,Ben C.,Ben S.,Ben W.,Bill K.,Bobby T.,Brant C.,Brian La.,Brian Li.,Carl R.,Charlie D.,Charlie M.,Chelsea P.,Chris G.,Chris J.,Chris Mo.,Chris My.,Colin J.,Cory P.,Dan S.,Darrell L.,Dave E.,Dave S.,David A.,David J.,David W.,Denis M.,Dick K.,DJ W.,Donny H.,Drew B.,Dustin S.,Eric A.,Eric B.,Eric H.,Erik W.,Forrest T.,Frank B.,Greg A.,Ian S.,Jake W.,James E.,Jason F.,Jason M.,Jason S.,Jayson L.,Jeremy S.,Jesse J.,Jim B.,Jim C.,Joe C.,Joe J.,Joe S.,Joel B.,John S.,John V.,Jordyn P.,Josh J.,Josh R.,Juan B.,Katie S.,Kevin V.,Kevin W.,Lauren D.,Lee M.,Maridee R.,Mark A.,Mark N.,Matt A.,Matt G.,Matt S.,Matt T.,Matthew S.,Merritt W.,Michael P.,Mike M.,Mike V.,Nate M.,Nick K.,OJ W.,Paul H.,Paul K.,Paul W.,Phil H.,Phil W.,Rachel H.,Renee K.,Richard A.,Rick S.,Rob C.,Rusty O.,Ryan F.,Ryan Y.,Sam E.,Sam S.,Sara P.,Sarah G.,Scott M.,Scott T.,Shelley B.,Steve B.,Steve D.,Steve M.,Steve P.,Steve S.,Steve W.,Stuart W.,Tim H.,Tony H.,Tony W.,Trent D.,Tyler S.,Wes B.,Zach M.
Salvator Double Bock,Paulaner Brauerei München,Bock,Doppelbock,Germany,2/29/2020,February,2020,Tony H.,82,Ben W.,3.21,,,2.75,,,,,,,,,,,,3.25,3.50,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,3.25,,3.25,,,4.00,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,2.25,
Keeneland Fall Ale Pale Ale,Country Boy Brewing,Pale Ale,American Pale Ale,Kentucky,9/12/2020,September,2020,Jason M.,87,OJ W.,3.21,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,2.50,,,,,,,,,,,,,3.00,,,,3.75,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lustra,Dancing Gnome Brewery,Pale Ale,New England/Hazy Pale Ale,Pennsylvania,1/28/2022,January,2022,Standard Beer,103,Zach M.,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,3.00,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,3.50
Sonic Nurse New England IPA,Nine Giant Brewing,IPA,New England/Hazy IPA,Ohio,2/25/2025,February,2025,Silverton/Pleasant Ridge,140,David A.,3.21,,,,,,,,,,,,,,,3.50,3.50,3.25,,,,,,,,,,,,,,,,,3.00,,4.00,,,,,,,,,,,3.50,3.75,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,3.25,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,1.75
Schwarzbier Dark Lager,Deschutes Brewery / Bell's Brewery,Schwarzbier,,Oregon,10/18/2018,October,2018,Phil H.,66,Paul K.,3.20,,,,,,,,,,,,,,,,3.00,,3.50,,,,,2.75,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,4.50,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,3.25,3.00,3.00,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,
Holiday White Ale,Boston Beer Co.,Wheat,Witbier,Massachusetts,11/23/2022,November,2022,Matt T.,113,Scott T.,3.20,,,,,,,,,,,,,,,,2.50,,3.50,,,,,,,,,,,,,,,,2.50,,,,,,,,,2.75,,,,,,,,,,2.50,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,3.00,,,,,,,,,,,4.00,,,3.50,,,,,,,,,,,,,,,4.00
Wake the F*** Up Brown Ale,Bhramari Brewing,Brown,,North Carolina,11/23/2022,November,2022,Matt T.,113,Matt T.,3.20,,,,,,,,,,,,,,,,3.00,,3.00,,,,,,,,,,,,,,,,3.00,,,,,,,,,3.50,,,,,,,,,,2.75,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,3.75,,,,,,,,,,,3.00,,,3.50,,,,,,,,,,,,,,,2.25
Double Dry Hop Pseudo Sue Pale Ale,Toppling Goliath Brewing Co.,Pale Ale,American Pale Ale,Iowa,8/29/2023,August,2023,Jeremy S.,122,Zach M.,3.20,,,,,,,,,,,,,,,3.00,,,,,,,,3.75,,,,,,,,,,,2.50,,,,,,,,,3.00,,,,,,,,,,4.00,,,,,,3.25,,,,,,,,,,,,3.00,,,,,,,,,,,,,3.00,,,,,,,,,,2.75,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,4.25
Maltings Irish Ale,Sullivan's Brewing Co.,Red,Irish Red,Ireland,8/29/2023,August,2023,Jeremy S.,122,Josh R.,3.20,,,,,,,,,,,,,,,3.25,,,,,,,,3.75,,,,,,,,,,,3.00,,,,,,,,,2.50,,,,,,,,,,3.00,,,,,,3.50,,,,,,,,,,,,3.50,,,,,,,,,,,,,4.00,,,,,,,,,,3.50,,,,,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,3.50
Voodoo Ranger Juice Force Hazy Imperial IPA,New Belgium Brewing Co.,IPA,New England/Hazy IPA,Colorado,8/29/2023,August,2023,Jeremy S.,122,Drew B.,3.20,,,,,,,,,,,,,,,2.75,,,,,,,,2.00,,,,,,,,,,,3.25,,,,,,,,,3.25,,,,,,,,,,3.75,,,,,,3.00,,,,,,,,,,,,3.00,,,,,,,,,,,,,4.00,,,,,,,,,,3.00,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,3.25
Kokua Hazy Pale Ale,Streetside Brewery,Pale Ale,New England/Hazy Pale Ale,Ohio,12/15/2023,December,2024,Paul W.,126,Ben S.,3.20,,,,,,,,,,,,,,,3.25,,2.75,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,3.00,,,,,2.50,,,,,,,,,,,,5.00,,,,,,,,3.00,,,,,,,,,,,3.25,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,3.25
Samuel Adams Boston Lager,Boston Beer Co.,Lager,Vienna Lager,Massachusetts,7/30/2014,July,2014,Dave E. and Jake W.,15,Tyler S. / Retrial,3.20,5.00,,,3.50,5.00,,,,,,,,,,2.75,3.50,,,,,,,1.00,3.00,,,,,,2.00,,2.50,,3.50,,,,,,,,,3.50,,3.50,,2.50,,,,,,3.00,,,3.50,,,3.75,,,,,,,3.50,,,,,,,,,2.50,,,,,,1.00,,3.50,,,3.75,,,,,,3.25,,3.25,3.00,,,,,,,,,,,4.00,,,,,3.50,,,,,,,,,,3.00,,3.50,4.00,,2.75
Hudepohl Pure Lager,Hudepohl-Schoenling Brewing Co.,Amber,,Ohio,3/30/2016,March,2016,Jake W.,35,Eric H.,3.20,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,5.00,2.50,,,,,,,,,,,2.00,,3.00,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,2.50,,,,3.50,,,,,
PSA Proper Session Ale,MadTree Brewing Co.,Pale Ale,American Pale Ale,Ohio,7/27/2016,July,2016,Kevin W.,39,Trent D.,3.20,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,1.50,,3.00,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,3.00,,,,,,3.00,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,
Grapefruit Moon IPA Shandy,Harmony Brewing Co.,IPA,American IPA,Michigan,6/16/2017,June,2017,Denis M.,50,Phil H.,3.20,,,2.25,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,4.00,,,,,,3.50,,,,,,,,,,,,,,2.50,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,,,,,,,,,,,,,,,,,,,,3.50,,2.25,,,,,,,,
Craft Lager,March First Brewing,Lager,American Adjunct Lager,Ohio,4/17/2018,April,2018,Jake W.,60,Steve S.,3.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,2.75,,3.50,3.50,,,3.00,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,2.75,3.00,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,4.00,,,,
Pseudo Sue Pale Ale,Toppling Goliath Brewing Co.,Pale Ale,American Pale Ale,Iowa,12/10/2021,December,2022,Paul W.,102,Jake W.,3.20,,,,,,,,,,,,,,,3.25,,,4.00,,,,,3.00,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,3.50,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,2.25,,,,,,,,,,,,,,,,4.00,,,,,,2.50,,,,,,,,,
Ides of Haze Hazy IPA,Wolf's Ridge Brewing,IPA,New England/Hazy IPA,Ohio,5/9/2023,May,2023,Jake W.,119,Sara P.,3.20,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,3.75,,,,,2.00,,,,,3.50,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,3.50,3.25,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,
Icelandic White Ale ,Einstök Ölgerð,Wheat,Witbier,Iceland,10/30/2025,October,2025,Ben S.,148,Alex S.,3.20,,,,,,,3.50,,,,,,,,3.50,,3.00,,,,,,,,,,,3.00,,,,,,2.25,,3.00,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,4.00
Smoked Porter,South Ave Brewing Co.,Porter,Smoked Porter,Ohio,12/6/2019,December,2020,Paul W.,80,Ben W.,3.20,4.00,,,,,,,,,,,,,,,3.00,,3.50,,,,,3.00,,,3.00,,,,,,,,3.00,,,,,,,,,,,4.00,,3.25,,,,3.00,,3.00,,,3.00,,,3.00,,,,,,,,,,,,3.75,,,,,,2.75,,,,,,,,,,,,,,,,,3.00,3.50,,,,,,,,,,,,,,,,3.00,,,,,,3.50,,,,,,,,2.50,
Country Legends Porter,Jackie O's Brewery,Porter,American Porter,Ohio,5/17/2019,May,2019,Jake W.,73,Paul W.,3.20,3.50,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,3.50,,3.50,,,,,,3.00,,,,,,,,,,,,,,,,3.00,,3.75,,,,,,,,,,,,,,,,,3.25,2.25,4.00,,,,,,,,,,,,,,,3.00,,,,,,3.25,,,,,,,,2.50,
Work From Home Brunch Coffee Stout,Seventh Son Brewing Co.,Stout,Coffee Stout,Ohio,9/25/2020,September,2020,Paul K. and Chalie D.,88,Dave E.,3.19,,,,,,,,,,,,,,,3.25,2.50,,,,,,,3.25,,,,,,,,,,,3.75,,,,,,,,,,,,,2.50,,,,,,,,,3.00,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hobgoblin Dark English Ale,Wychwood,Brown,,UK,3/14/2014,March,2014,Denis M.,11,Eric A. / Joe S.,3.19,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,2.50,,,,3.00,,,4.00,,3.50,,,3.50,,,3.50,,2.50,,,,,,3.00,,,,,,,,,,2.50,4.00,4.00,,,,,,,,,,,,,,,,3.50,,3.00,,,,,,,,,,,,,3.50,,,,,,,,,,3.00,,,,,2.50,,,,,,,,,,,,3.00,,,
Moon Bear Milk Stout,Clown Shoes,Stout,Sweet/Milk Stout,Massachusetts,4/17/2018,April,2018,Jake W.,60,Jason F.,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,3.50,,,2.50,,,3.00,,,,,,,,,,,,,,,,,,4.50,,,,,,,,,,,,,,,,,3.50,2.75,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,2.00,,,,
Collaboration Lager,Jacob Leinenkugel Brewing Co. / Hofbrauhaus,Amber,,Wisconsin,11/18/2021,November,2021,Greg A.,101,Zach M.,3.19,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,3.25,,,,,,,,3.25,,2.75,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,4.25
Grateful Dead Juicy Pale Ale,Dogfish Head Craft Brewery,Pale Ale,New England/Hazy Pale Ale,Delaware,7/24/2025,July,2025,Dave E.,145,David A.,3.19,,,,,,,,,,,,,,,3.75,,,,,,,,2.75,,,,,,,,,,,3.00,,2.75,,,,,,,2.75,,,,2.50,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,4.00,,,,,,,,,,,,,,,,,
Bourbon-Barrel Aged Descendant Suffolk Dark Ale,Mystic Brewery,Stout,Irish Stout,Massachusetts,7/6/2018,July,2018,Dave E.,63,Kevin W.,3.19,4.00,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,2.25,,,,,,,,,,,4.00,,3.25,,,,,,3.50,,,4.00,,,,,,,,,,,,,,,,,,,4.50,,,,,,,,3.00,,,,,,,,,,,2.75,,,,,,,,,,,,2.00,,,,,2.25,,3.00,,,,,,,,,,,,,
Finally Legal Bourbon Barrel Aged Stout,Weyerbacher Brewing Co.,Stout,American Imperial Stout,Pennsylvania,1/17/2019,January,2019,Paul K.,69,Eric A.,3.19,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,4.25,,,,,,4.00,,,,,4.25,,2.25,,,,2.00,,3.00,,,3.00,,,,,,,,,,,,,,,3.25,,,,,,4.00,,,,,,,,,,,,,,,,,2.75,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25
Duvel Rustica,Brewery Ommegang,Strong,Belgian Strong,New York,1/17/2014,January,2014,Phil H.,9,Dan S.,3.19,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,4.00,,2.00,,,,,3.50,,,3.00,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,
Samuel Adams Oktoberfest,Boston Beer Co.,Oktoberfest,Marzen,Massachusetts,10/11/2014,October,2014,Phil H.,18,Trent D.,3.19,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,3.50,,,,,,2.50,,,,,,,,,,,,,,,4.00,,,,,3.00,,,,,,,3.50,,,
Graeter's Blueberry Pie Brown Ale,Braxton Brewing Co.,Brown,,Kentucky,10/12/2017,October,2017,Matt S.,54,Donny H.,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,3.00,,,2.50,,,,,,,,3.00,,,,,,3.50,,,,,,,,,,,,,,,,4.00,,,,,,,,3.00,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kappa Flounder Hazy India Pale Ale,Rhinegeist Brewing Co.,IPA,New England/Hazy IPA,Ohio,8/26/2022,August,2022,Jeremy S.,110,Ben S.,3.19,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,3.50,,,2.50,,,,,,,,,,,,3.00,3.00,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75
Regular Beer,DuClaw Brewing Co,Lager,American Light Lager,Maryland,8/26/2022,August,2022,Jeremy S.,110,Zach M.,3.19,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,,,,,,,,,,,,3.75,,,3.00,,,,,,,,,,,,3.00,3.00,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25
Belgian Strong Blond,Brouwerij Duvel Moortgat NV,Strong,Belgian Strong,Belgium,4/29/2023,April,2023,Ben W.,118,Allen M.,3.19,,,,,,,,4.50,,,,,,,,2.50,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,4.00,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,
Oubliette Imperial Stout ,Seventh Son Brewing Co.,Stout,American Imperial Stout,Ohio,9/26/2023,September,2023,Charlie D.,123,Scott T.,3.19,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,3.25,,,,,,,,,3.50,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,,4.00,,,,,,,,,3.50,,,,,,
Gold Rush Double IPA,HighGrain Brewing Co.,IPA,Double IPA,Ohio,2/25/2025,February,2025,Silverton/Pleasant Ridge,140,Ben S.,3.19,,,,,,,,,,,,,,,3.25,4.25,4.00,,,,,,,,,,,,,,,,,2.75,,2.00,,,,,,,,,,,4.00,4.00,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,3.50,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,2.25
Alpsi Dunkel Lager,HighGrain Brewing Co.,Dunkel,,Ohio,12/9/2022,December,2023,Paul W.,114,Paul W.,3.18,,,,,,,,,,,,,,,,,,3.00,,,,,2.75,,,,,,,,,,,3.00,,,,,,,,,2.75,,,,,,,,,,3.50,,,2.75,,,2.50,,,,,3.50,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,3.25,5.00,,,,,,,,,,,,,4.25,,,3.25,,,,2.50,,,,,,,,,,,2.50
Blind Tiger Tavern Style Pale Ale,Barley Island Brewing Co.,Pale Ale,American Pale Ale,Indiana,7/23/2013,July,2013,Bobby T.,3,Scott T.,3.18,,3.00,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,4.50,,,,,,,,,4.00,,,,,,,,3.00,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,3.50,,,3.50,,,,,,,2.50,,,,,
Nut Brown,Ale Smith Brewing Co.,Brown,,California,10/18/2018,October,2018,Phil H.,66,Steve S.,3.18,,,,,,,,,,,,,,,,2.50,,3.00,,,,,3.50,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,4.25,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,3.00,2.75,3.50,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,
Oatmeal Raisin Cookie Brown Ale,Cigar City Brewing,Brown,,Florida,7/5/2019,July,2019,Dave E.,75,Jake W.,3.18,3.50,,,,,,,,,,,,,,,3.50,,,,,,,3.25,,,,,,,,,,,4.25,,,,,,,,,2.75,,,,,,,,,,3.00,,,2.50,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,3.25
Gorch Fock German Style Helles Lager,3 Floyds Brewing Co.,Lager,Helles Lager,Indiana,9/27/2019,September,2019,Kevin W.,77,Dave E.,3.18,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,4.00,,,,2.00,,,,3.50,,2.50,,,,,,3.25,,,,,,,,,,,,4.00,,,,3.50,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25
Jungle Rajah Juicey India Pale Ale,The Brew Kettle Taproom & Smokehouse,IPA,New England/Hazy IPA,Ohio,8/29/2023,August,2023,Jeremy S.,122,Charlie D.,3.18,,,,,,,,,,,,,,,3.75,,,,,,,,4.00,,,,,,,,,,,2.75,,,,,,,,,3.00,,,,,,,,,,3.75,,,,,,3.25,,,,,,,,,,,,2.00,,,,,,,,,,,,,3.50,,,,,,,,,,2.75,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,2.75
Stiegl Goldbräu,Stieglbrauerei zu Salzburg GmbH,Lager,European Pale Lager,Austria,10/24/2023,October,2023,Higher Gravity,124,Ben S.,3.18,,,,,,,,,,,,,,,3.50,,2.75,,,,,,,,,,,,,,,,,3.00,,,,,,,,,3.00,,,,,,,,,,2.75,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,4.00,,,,,,,,,,,,,,2.25,3.00,,,,,,,3.25,,,,,,,,,,
Ermal's Dunkelweizen Ale,Warped Wing Brewing Co.,Wheat,Dunkelweizen,Ohio,12/15/2023,December,2024,Paul W.,126,Jeremy S.,3.18,,,,,,,,,,,,,,,2.75,,2.75,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,3.25,,,,,3.50,,,,,,,,,,,,2.50,,,,,,,,3.50,,,,,,,,,,,2.75,,,,,,,,,,,,,4.25,,,,,,,,,,,,,,,,,,3.50
Citrus Rush Double IPA,HighGrain Brewing Co.,IPA,Double IPA,Ohio,2/28/2026,February,2026,Ryan F.,152,Ben W.,3.18,,,,,,,,,,,,,,,,4.50,,,,,,,,,,,,,3.75,,,,,2.50,,3.00,,,,,,,,,,,3.00,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,2.25,,,,,,,,,,,,,,,,,,,,3.00,,,,2.75,,,3.25,,,,,,,,,,,,,,,
Jolly Tar Oatmeal Raisin Rye,Warped Wing Brewing Co.,Rye,,Ohio,2/24/2017,February,2017,Ben W.,46,Jake W.,3.18,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,2.75,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,2.00,,,,,
No Hero Oatmeal Stout,Evil Twin Brewing,Stout,Oatmeal Stout,Denmark,3/22/2017,March,2017,Scott T.,47,Dave E.,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,3.75,,2.00,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,
Home Sweet Home Brown Ale,Fifty West Brewing Co.,Brown,,Ohio,10/16/2020,October,2020,Dave E. and Jake W.,89,Dave E.,3.18,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,3.00,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,,,,,
Jackpot Joey Gamdeday Ale,Brink Brewing Co.,Blonde,,Ohio,6/19/2024,June,2024,Sara P. ,132,Joe J.,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,4.00,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,2.75,,,,,,,,,,,,,,,
Liberty Ale,Anchor Brewing Co.,IPA,American IPA,California,7/30/2014,July,2014,Dave E. and Jake W.,15,Eric A.,3.18,,,,,3.50,,,,,,,,,,,,,,,,,,,2.00,,,,,,3.50,,2.00,,4.00,,,,,,,,,,,3.50,,2.50,,,,,,2.50,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,4.00,,4.00,,,,,,,,,,,,2.50,,,,,,,,,,,3.50,,,,,3.50,,,,,,,,,,3.50,,3.00,3.50,,
Citra Ass Down Double India Pale Ale,Against the Grain Brewery & Smokehouse,IPA,Double IPA,Kentucky,12/2/2016,December,2017,Paul W.,44,Dave E.,3.18,,,,,,,,,,,,,,,,4.00,,2.25,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,2.25,,4.00,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,4.00,,2.75,,2.50,,,,2.50,3.00,,,,,,,,,,,2.00,4.75,,,,,,,,,,3.00,,,,,4.00,,,,,,3.25,,,,,,4.00,,,
2XSMASH Double India Pale Ale,Southern Tier Brewing Co.,IPA,Double IPA,New York,1/26/2018,January,2018,Ben W.,57,Jake W.,3.18,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,2.50,,,,2.75,,,,,,,,,,,,,3.75,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,3.25,,3.25,,,,3.75,,,,,,3.00,,,,,,,,,,,,,,,,,,,,
Fox in the Stout Salted Chocolate Imperial Stout,Seventh Son Brewing Co.,Stout,American Imperial Stout,Ohio,11/21/2023,November,2023,Scott T.,125,Scott T.,3.17,,,,,,,,,,,,3.50,,,3.00,,2.50,3.75,,,,,2.00,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,2.75,,,,,,3.00,,,,,3.25,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,2.75,,,,,,,,,,,,,,3.50,,,3.50,,,,,,,,,,,,,,,
Sam '76,Boston Beer Co.,Lager,American Light Lager,Massachusetts,7/6/2018,July,2018,Dave E.,63,Aaron T.,3.17,4.00,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,2.50,,,,,,,,,,,2.50,,3.00,,,,,,3.00,,,4.00,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,3.50,,,,,,,,,,,3.25,,,,,,,,,,,,2.50,,,,,2.75,,3.50,,,,,,,,,,,,,
Grove American Pale Ale,Mellotone Beer Project,Pale Ale,American Pale Ale,Ohio,2/28/2026,February,2026,Ryan F.,152,Sara P.,3.17,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,3.50,,,,,2.00,,3.25,,,,,,,,,,,2.75,,,,,,3.75,,,,,,,,,,,,,,3.25,,,,,,2.50,,,,,3.50,,,,,,2.50,,,,,,,,,,,,,,,,,,,,4.25,,,,3.25,,,3.75,,,,,,,,,,,,,,,
